Folder, Filename, Result, ExitCode, Time, Memory
t4, f152, Realizable, 0, 0.00, 0.01
t4, f153, Realizable, 0, 0.00, 0.01
t4, f154, Realizable, 0, 0.00, 0.01
t4, f155, Realizable, 0, 0.00, 0.01
t4, f156, Realizable, 0, 0.01, 0.01
t4, f157, Realizable, 0, 0.00, 0.01
t4, f158, Realizable, 0, 0.00, 0.01
t4, f159, Realizable, 0, 0.00, 0.01
t4, f160, Realizable, 0, 0.00, 0.01
t4, f161, Unrealizable, 0, 0.00, 0.01
t4, f162, Unrealizable, 0, 0.00, 0.01
t4, f163, Unrealizable, 0, 0.00, 0.01
t4, f164, Realizable, 0, 0.00, 0.01
t4, f165, Realizable, 0, 0.00, 0.01
t4, f166, Unrealizable, 0, 0.00, 0.01
t4, f167, Realizable, 0, 0.00, 0.01
t4, f168, Realizable, 0, 0.00, 0.01
t4, f169, Unrealizable, 0, 0.00, 0.01
t4, f170, Realizable, 0, 0.00, 0.01
t4, f171, Unrealizable, 0, 0.00, 0.01
t4, f172, Realizable, 0, 0.00, 0.01
t4, f173, Realizable, 0, 0.00, 0.01
t4, f174, Realizable, 0, 0.01, 0.01
t4, f175, Realizable, 0, 0.01, 0.04
t4, f176, Realizable, 0, 0.00, 0.01
t4, f177, Realizable, 0, 0.00, 0.01
t4, f178, Stopped, 124, 30.00, 0.22
t4, f179, Realizable, 0, 0.00, 0.01
t4, f180, Unrealizable, 0, 0.00, 0.01
t4, f181, Realizable, 0, 0.00, 0.01
t4, f182, Unrealizable, 0, 0.01, 0.01
t4, f183, Unrealizable, 0, 0.01, 0.02
t4, f184, Realizable, 0, 0.00, 0.01
t4, f185, Realizable, 0, 0.00, 0.01
t4, f186, Realizable, 0, 0.00, 0.01
t4, f187, Realizable, 0, 0.00, 0.01
t4, f188, Unrealizable, 0, 0.01, 0.02
t4, f189, Realizable, 0, 0.00, 0.01
t4, f190, Realizable, 0, 0.00, 0.01
t4, f191, Realizable, 0, 0.01, 0.01
t4, f192, Unrealizable, 0, 0.01, 0.01
t4, f193, Realizable, 0, 0.00, 0.01
t4, f194, Unrealizable, 0, 0.00, 0.01
t4, f195, Realizable, 0, 0.00, 0.01
t4, f196, Realizable, 0, 0.00, 0.01
t4, f197, Realizable, 0, 0.00, 0.01
t4, f198, Realizable, 0, 0.00, 0.01
t4, f199, Unrealizable, 0, 0.00, 0.02
t4, f200, Realizable, 0, 0.00, 0.01
t5, f1, Realizable, 0, 0.00, 0.01
t5, f2, Realizable, 0, 0.00, 0.01
t5, f3, Realizable, 0, 0.00, 0.01
t5, f4, Realizable, 0, 0.00, 0.01
t5, f5, Unrealizable, 0, 0.54, 0.07
t5, f6, Unrealizable, 0, 0.00, 0.01
t5, f7, Realizable, 0, 0.00, 0.01
t5, f8, Unrealizable, 0, 0.00, 0.01
t5, f9, Realizable, 0, 0.00, 0.02
t5, f10, Unrealizable, 0, 1.76, 0.23
t5, f11, Realizable, 0, 0.00, 0.01
t5, f12, Realizable, 0, 0.00, 0.01
t5, f13, Realizable, 0, 0.00, 0.02
t5, f14, Realizable, 0, 0.00, 0.01
t5, f15, Realizable, 0, 0.00, 0.01
t5, f16, Stopped, 124, 30.00, 0.30
t5, f17, Unrealizable, 0, 0.02, 0.02
t5, f18, Realizable, 0, 0.00, 0.01
t5, f19, Realizable, 0, 0.03, 0.08
t5, f20, Realizable, 0, 0.00, 0.01
t5, f21, Realizable, 0, 0.00, 0.01
t5, f22, Realizable, 0, 0.00, 0.01
t5, f23, Realizable, 0, 0.00, 0.01
t5, f24, Realizable, 0, 0.00, 0.01
t5, f25, Realizable, 0, 0.00, 0.01
t5, f26, Realizable, 0, 0.00, 0.01
t5, f27, Unrealizable, 0, 0.00, 0.01
t5, f28, Realizable, 0, 0.00, 0.01
t5, f29, Realizable, 0, 0.00, 0.01
t5, f30, Stopped, 124, 30.00, 1.63
t5, f31, Realizable, 0, 0.00, 0.02
t5, f32, Realizable, 0, 0.00, 0.01
t5, f33, Realizable, 0, 0.00, 0.01
t5, f34, Realizable, 0, 0.00, 0.01
t5, f35, Realizable, 0, 0.00, 0.01
t5, f36, Realizable, 0, 0.00, 0.01
t5, f37, Realizable, 0, 0.00, 0.01
t5, f38, Realizable, 0, 0.00, 0.01
t5, f39, Realizable, 0, 0.00, 0.01
t5, f40, Realizable, 0, 0.00, 0.01
t5, f41, Realizable, 0, 0.00, 0.01
t5, f42, Realizable, 0, 0.00, 0.01
t5, f43, Realizable, 0, 0.03, 0.02
t5, f44, Realizable, 0, 0.00, 0.01
t5, f45, Realizable, 0, 0.00, 0.01
t5, f46, Unrealizable, 0, 0.03, 0.09
t5, f47, Realizable, 0, 0.01, 0.01
t5, f48, Realizable, 0, 0.00, 0.01
t5, f49, Unrealizable, 0, 0.00, 0.01
t5, f50, Realizable, 0, 0.00, 0.01
t5, f51, Unrealizable, 0, 0.02, 0.14
t5, f52, Realizable, 0, 0.00, 0.01
t5, f53, Realizable, 0, 0.00, 0.01
t5, f54, Realizable, 0, 0.00, 0.01
t5, f55, Realizable, 0, 0.00, 0.02
t5, f56, Realizable, 0, 0.02, 0.05
t5, f57, Realizable, 0, 0.00, 0.01
t5, f58, Realizable, 0, 0.00, 0.01
t5, f59, Realizable, 0, 0.00, 0.01
t5, f60, Realizable, 0, 0.91, 0.16
t5, f61, Realizable, 0, 0.00, 0.01
t5, f62, Realizable, 0, 0.00, 0.01
t5, f63, Realizable, 0, 0.01, 0.01
t5, f64, Realizable, 0, 0.00, 0.01
t5, f65, Unrealizable, 0, 0.05, 0.16
t5, f66, Unrealizable, 0, 2.92, 0.28
t5, f67, Realizable, 0, 0.00, 0.01
t5, f68, Realizable, 0, 0.00, 0.02
t5, f69, Realizable, 0, 0.00, 0.01
t5, f70, Realizable, 0, 0.00, 0.01
t5, f71, Realizable, 0, 0.00, 0.01
t5, f72, Realizable, 0, 0.00, 0.01
t5, f73, Unrealizable, 0, 0.00, 0.02
t5, f74, Realizable, 0, 0.00, 0.01
t5, f75, Realizable, 0, 0.00, 0.01
t5, f76, Unrealizable, 0, 0.00, 0.01
t5, f77, Stopped, 124, 30.00, 0.55
t5, f78, Unrealizable, 0, 0.01, 0.02
t5, f79, Realizable, 0, 0.00, 0.01
t5, f80, Realizable, 0, 0.00, 0.01
t5, f81, Realizable, 0, 0.00, 0.02
t5, f82, Realizable, 0, 0.00, 0.01
t5, f83, Stopped, 124, 30.00, 0.55
t5, f84, Realizable, 0, 0.00, 0.01
t5, f85, Realizable, 0, 0.00, 0.01
t5, f86, Realizable, 0, 0.00, 0.01
t5, f87, Realizable, 0, 0.00, 0.01
t5, f88, Realizable, 0, 0.00, 0.01
t5, f89, Unrealizable, 0, 0.00, 0.01
t5, f90, Realizable, 0, 0.00, 0.01
t5, f91, Realizable, 0, 0.00, 0.02
t5, f92, Realizable, 0, 0.46, 0.24
t5, f93, Realizable, 0, 0.01, 0.01
t5, f94, Realizable, 0, 0.00, 0.01
t5, f95, Unrealizable, 0, 8.45, 0.35
t5, f96, Realizable, 0, 0.00, 0.01
t5, f97, Stopped, 124, 30.00, 0.86
t5, f98, Realizable, 0, 0.00, 0.01
t5, f99, Unrealizable, 0, 2.38, 0.42
t5, f100, Realizable, 0, 1.14, 0.23
t5, f101, Realizable, 0, 0.00, 0.01
t5, f102, Realizable, 0, 0.00, 0.01
t5, f103, Realizable, 0, 0.00, 0.01
t5, f104, Unrealizable, 0, 0.14, 0.04
t5, f105, Stopped, 124, 30.00, 0.67
t5, f106, Unrealizable, 0, 0.11, 0.18
t5, f107, Realizable, 0, 0.00, 0.01
t5, f108, Stopped, 124, 30.00, 0.44
t5, f109, Realizable, 0, 0.00, 0.01
t5, f110, Realizable, 0, 0.00, 0.02
t5, f111, Realizable, 0, 0.00, 0.02
t5, f112, Realizable, 0, 0.00, 0.01
t5, f113, Realizable, 0, 0.00, 0.01
t5, f114, Realizable, 0, 0.00, 0.01
t5, f115, Realizable, 0, 0.00, 0.01
t5, f116, Unrealizable, 0, 0.00, 0.01
t5, f117, Unrealizable, 0, 0.00, 0.02
