Folder, Filename, Result, ExitCode, minimizeTime, lydiaPreprocessTime, Time, Memory, lastSearchedDfaSz
syft_1, 097, Unrealizable, 0, 0.000, 0.048, 6.451, 0.374, 515
syft_1, 098, Realizable, 0, 0.000, 0.028, 0.039, 0.257, 0
syft_1, 099, Realizable, 0, 0.000, 0.028, 0.039, 0.257, 0
syft_1, 100, Unrealizable, 0, 0.000, 0.044, 0.067, 0.256, 35
syft_1, 101, Realizable, 0, 0.000, 0.027, 0.037, 0.256, 0
syft_1, 102, Realizable, 0, 0.000, 0.029, 0.042, 0.257, 0
syft_1, 103, Unrealizable, 0, 0.000, 0.082, 18.458, 0.695, 517
syft_1, 104, Unrealizable, 0, 0.000, 0.072, 0.104, 0.256, 36
syft_1, 105, Realizable, 0, 0.000, 0.028, 0.040, 0.257, 0
syft_1, 106, Unrealizable, 0, 0.000, 0.073, 0.104, 0.256, 35
syft_1, 107, Unrealizable, 0, 0.000, 0.075, 15.862, 0.543, 516
syft_1, 108, Realizable, 0, 0.000, 0.030, 0.043, 0.257, 0
syft_1, 109, Realizable, 0, 0.000, 0.027, 0.037, 0.256, 0
syft_1, 110, Realizable, 0, 0.000, 0.024, 0.033, 0.256, 0
syft_1, 111, Realizable, 0, 0.000, 0.023, 0.033, 0.256, 0
syft_1, 112, Unrealizable, 0, 0.000, 0.074, 1.996, 0.303, 260
syft_1, 113, Unrealizable, 0, 0.000, 0.070, 2.789, 0.321, 259
syft_1, 114, Realizable, 0, 0.000, 0.022, 0.032, 0.256, 0
syft_1, 115, Realizable, 0, 0.000, 0.026, 0.036, 0.256, 0
syft_1, 116, Realizable, 0, 0.000, 0.026, 0.037, 0.256, 0
syft_1, 117, Unrealizable, 0, 0.000, 0.074, 0.107, 0.257, 37
syft_1, 118, Realizable, 0, 0.000, 0.025, 0.035, 0.256, 0
syft_1, 119, Realizable, 0, 0.000, 0.028, 0.040, 0.257, 0
syft_1, 120, Unrealizable, 0, 0.000, 0.075, 17.022, 0.695, 517
syft_1, 121, Unrealizable, 0, 0.000, 0.077, 0.193, 0.261, 67
syft_1, 122, Unrealizable, 0, 0.000, 0.073, 0.163, 0.259, 68
syft_1, 123, Unrealizable, 0, 0.000, 0.042, 0.064, 0.256, 35
syft_1, 124, Unrealizable, 0, 0.000, 0.068, 0.181, 0.261, 67
syft_1, 125, Unrealizable, 0, 0.000, 0.068, 0.181, 0.261, 67
syft_1, 126, Realizable, 0, 0.000, 0.027, 0.036, 0.256, 0
syft_1, 127, Unrealizable, 0, 0.000, 0.045, 6.106, 0.374, 515
syft_1, 128, Realizable, 0, 0.000, 0.022, 0.031, 0.256, 0
syft_1, 129, Unrealizable, 0, 0.000, 0.068, 0.183, 0.261, 67
syft_1, 130, Realizable, 0, 0.000, 0.028, 0.045, 0.259, 0
syft_1, 131, Realizable, 0, 0.000, 0.027, 0.037, 0.257, 0
syft_1, 132, Realizable, 0, 0.000, 0.023, 0.032, 0.256, 0
syft_1, 133, Unrealizable, 0, 0.000, 0.046, 0.112, 0.256, 67
syft_1, 134, Realizable, 0, 0.000, 0.022, 0.030, 0.256, 0
syft_1, 135, Realizable, 0, 0.000, 0.028, 0.041, 0.258, 0
syft_1, 136, Unrealizable, 0, 0.000, 0.080, 3.344, 0.347, 261
syft_1, 137, Unrealizable, 0, 0.000, 0.079, 0.492, 0.270, 132
syft_1, 138, Realizable, 0, 0.000, 0.024, 0.034, 0.256, 0
syft_1, 139, Unrealizable, 0, 0.000, 0.079, 13.954, 0.553, 515
syft_1, 140, Unrealizable, 0, 0.000, 0.074, 0.107, 0.256, 36
syft_1, 141, Unrealizable, 0, 0.000, 0.078, 0.197, 0.261, 67
syft_1, 142, Realizable, 0, 0.000, 0.023, 0.033, 0.256, 0
syft_1, 143, Unrealizable, 0, 0.000, 0.073, 0.167, 0.259, 68
syft_1, 144, Realizable, 0, 0.000, 0.023, 0.032, 0.256, 0
syft_1, 145, Realizable, 0, 0.000, 0.028, 0.039, 0.257, 0
syft_1, 146, Unrealizable, 0, 0.000, 0.073, 0.106, 0.256, 36
syft_1, 147, Realizable, 0, 0.000, 0.027, 0.041, 0.257, 0
syft_1, 148, Unrealizable, 0, 0.000, 0.076, 0.109, 0.257, 37
syft_1, 149, Realizable, 0, 0.000, 0.023, 0.032, 0.256, 0
syft_1, 150, Unrealizable, 0, 0.000, 0.071, 0.167, 0.259, 68
syft_1, 151, Unrealizable, 0, 0.000, 0.073, 0.104, 0.256, 35
syft_1, 152, Unrealizable, 0, 0.000, 0.047, 6.322, 0.374, 515
syft_1, 153, Unrealizable, 0, 0.000, 0.043, 0.109, 0.256, 67
syft_1, 154, Unrealizable, 0, 0.000, 0.072, 0.560, 0.272, 131
syft_1, 155, Unrealizable, 0, 0.000, 0.043, 0.109, 0.256, 67
syft_1, 156, Realizable, 0, 0.000, 0.024, 0.034, 0.256, 0
syft_1, 157, Unrealizable, 0, 0.000, 0.075, 2.962, 0.321, 259
syft_1, 158, Unrealizable, 0, 0.000, 0.072, 0.557, 0.272, 131
syft_1, 159, Realizable, 0, 0.000, 0.022, 0.032, 0.256, 0
