Folder, Filename, Result, ExitCode, Time, Memory, subAfSz
syft_1, 156, Realizable, 0, 0.00, 0.04, 1
syft_1, 157, Stopped, 0, 0.00, 0.04, 1
syft_1, 158, Stopped, 0, 0.00, 0.04, 1
syft_1, 159, Realizable, 0, 0.00, 0.04, 1
syft_1, 160, Realizable, 0, 0.00, 0.04, 1
syft_1, 161, Stopped, 0, 0.00, 0.05, 1
syft_1, 162, Realizable, 0, 0.00, 0.04, 1
syft_1, 163, Realizable, 0, 0.00, 0.04, 1
syft_1, 164, Stopped, 0, 0.00, 0.05, 1
syft_1, 165, Stopped, 0, 0.00, 0.05, 1
syft_1, 166, Stopped, 0, 0.00, 0.05, 1
syft_1, 167, Stopped, 0, 0.00, 0.04, 1
syft_1, 168, Realizable, 0, 0.00, 0.04, 1
syft_1, 169, Realizable, 0, 0.00, 0.04, 1
syft_1, 170, Stopped, 0, 0.00, 0.04, 1
syft_1, 171, Stopped, 0, 0.00, 0.05, 1
syft_1, 172, Stopped, 0, 0.00, 0.05, 1
syft_1, 173, Stopped, 0, 0.00, 0.04, 1
syft_1, 174, Realizable, 0, 0.00, 0.04, 1
syft_1, 175, Stopped, 0, 0.00, 0.04, 1
syft_1, 176, Stopped, 0, 0.00, 0.04, 1
syft_1, 177, Stopped, 0, 0.00, 0.04, 1
syft_1, 178, Stopped, 0, 0.00, 0.04, 1
syft_1, 179, Realizable, 0, 0.00, 0.04, 1
syft_1, 180, Stopped, 0, 0.00, 0.04, 1
syft_1, 181, Stopped, 0, 0.00, 0.05, 1
syft_1, 182, Realizable, 0, 0.00, 0.04, 1
syft_1, 183, Realizable, 0, 0.00, 0.04, 1
syft_1, 184, Realizable, 0, 0.00, 0.04, 1
syft_1, 185, Realizable, 0, 0.00, 0.04, 1
syft_1, 186, Realizable, 0, 0.00, 0.04, 1
syft_1, 187, Realizable, 0, 0.00, 0.04, 1
syft_1, 188, Realizable, 0, 0.00, 0.04, 1
syft_1, 189, Realizable, 0, 0.00, 0.04, 1
syft_1, 190, Stopped, 0, 0.00, 0.04, 1
syft_1, 191, Realizable, 0, 0.00, 0.04, 1
syft_1, 192, Stopped, 0, 0.00, 0.04, 1
syft_1, 193, Realizable, 0, 0.00, 0.04, 1
syft_1, 194, Stopped, 0, 0.00, 0.04, 1
syft_1, 195, Stopped, 0, 0.00, 0.04, 1
syft_1, 196, Realizable, 0, 0.00, 0.04, 1
syft_1, 197, Realizable, 0, 0.00, 0.04, 1
syft_1, 198, Realizable, 0, 0.00, 0.04, 1
syft_1, 199, Realizable, 0, 0.00, 0.04, 1
syft_1, 200, Realizable, 0, 0.00, 0.04, 1
syft_2, 001, Stopped, 0, 0.00, 0.05, 2
syft_2, 002, Realizable, 0, 0.00, 0.04, 2
syft_2, 003, Stopped, 0, 0.00, 0.05, 10
syft_2, 004, Stopped, 0, 0.00, 0.04, 2
syft_2, 005, Stopped, 0, 0.00, 0.04, 2
